Sexo;Titulación;Ocupación en el primer empleo;Total
Ambos sexos;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Total;5.336
Ambos sexos;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Directores y gerentes;176
Ambos sexos;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Técnicos y profesionales científicos e intelectuales;3.026
Ambos sexos;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Técnicos profesionales de apoyo;1.108
Ambos sexos;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Empleados contables, administrativos y otros empleados de oficina;378
Ambos sexos;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Trabajadores de los servicios de restauración, personales, protección y vendedores;310
Ambos sexos;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;9
Ambos sexos;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);125
Ambos sexos;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Operadores de instalaciones y maquinaria, y montadores;53
Ambos sexos;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Ocupaciones elementales;137
Ambos sexos;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;Ocupaciones militares;5
Ambos sexos;07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN;No consta;10
Ambos sexos;Ingeniería y procesos químicos;Total;92
Ambos sexos;Ingeniería y procesos químicos;Directores y gerentes;4
Ambos sexos;Ingeniería y procesos químicos;Técnicos y profesionales científicos e intelectuales;73
Ambos sexos;Ingeniería y procesos químicos;Técnicos profesionales de apoyo;4
Ambos sexos;Ingeniería y procesos químicos;Empleados contables, administrativos y otros empleados de oficina;5
Ambos sexos;Ingeniería y procesos químicos;Trabajadores de los servicios de restauración, personales, protección y vendedores;5
Ambos sexos;Ingeniería y procesos químicos;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;1
Ambos sexos;Ingeniería y procesos químicos;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Ingeniería y procesos químicos;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Ingeniería y procesos químicos;Ocupaciones elementales;0
Ambos sexos;Ingeniería y procesos químicos;Ocupaciones militares;0
Ambos sexos;Ingeniería y procesos químicos;No consta;0
Ambos sexos;Control y tecnología medioambiental;Total;470
Ambos sexos;Control y tecnología medioambiental;Directores y gerentes;6
Ambos sexos;Control y tecnología medioambiental;Técnicos y profesionales científicos e intelectuales;258
Ambos sexos;Control y tecnología medioambiental;Técnicos profesionales de apoyo;98
Ambos sexos;Control y tecnología medioambiental;Empleados contables, administrativos y otros empleados de oficina;34
Ambos sexos;Control y tecnología medioambiental;Trabajadores de los servicios de restauración, personales, protección y vendedores;20
Ambos sexos;Control y tecnología medioambiental;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;3
Ambos sexos;Control y tecnología medioambiental;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);13
Ambos sexos;Control y tecnología medioambiental;Operadores de instalaciones y maquinaria, y montadores;4
Ambos sexos;Control y tecnología medioambiental;Ocupaciones elementales;34
Ambos sexos;Control y tecnología medioambiental;Ocupaciones militares;0
Ambos sexos;Control y tecnología medioambiental;No consta;0
Ambos sexos;Electricidad y energía;Total;847
Ambos sexos;Electricidad y energía;Directores y gerentes;17
Ambos sexos;Electricidad y energía;Técnicos y profesionales científicos e intelectuales;510
Ambos sexos;Electricidad y energía;Técnicos profesionales de apoyo;156
Ambos sexos;Electricidad y energía;Empleados contables, administrativos y otros empleados de oficina;43
Ambos sexos;Electricidad y energía;Trabajadores de los servicios de restauración, personales, protección y vendedores;38
Ambos sexos;Electricidad y energía;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;3
Ambos sexos;Electricidad y energía;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);15
Ambos sexos;Electricidad y energía;Operadores de instalaciones y maquinaria, y montadores;14
Ambos sexos;Electricidad y energía;Ocupaciones elementales;48
Ambos sexos;Electricidad y energía;Ocupaciones militares;0
Ambos sexos;Electricidad y energía;No consta;4
Ambos sexos;Electrónica y automática;Total;715
Ambos sexos;Electrónica y automática;Directores y gerentes;37
Ambos sexos;Electrónica y automática;Técnicos y profesionales científicos e intelectuales;434
Ambos sexos;Electrónica y automática;Técnicos profesionales de apoyo;126
Ambos sexos;Electrónica y automática;Empleados contables, administrativos y otros empleados de oficina;79
Ambos sexos;Electrónica y automática;Trabajadores de los servicios de restauración, personales, protección y vendedores;21
Ambos sexos;Electrónica y automática;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Electrónica y automática;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);18
Ambos sexos;Electrónica y automática;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Electrónica y automática;Ocupaciones elementales;0
Ambos sexos;Electrónica y automática;Ocupaciones militares;0
Ambos sexos;Electrónica y automática;No consta;0
Ambos sexos;Maquinaria y metalurgia;Total;745
Ambos sexos;Maquinaria y metalurgia;Directores y gerentes;28
Ambos sexos;Maquinaria y metalurgia;Técnicos y profesionales científicos e intelectuales;478
Ambos sexos;Maquinaria y metalurgia;Técnicos profesionales de apoyo;128
Ambos sexos;Maquinaria y metalurgia;Empleados contables, administrativos y otros empleados de oficina;54
Ambos sexos;Maquinaria y metalurgia;Trabajadores de los servicios de restauración, personales, protección y vendedores;21
Ambos sexos;Maquinaria y metalurgia;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Maquinaria y metalurgia;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);25
Ambos sexos;Maquinaria y metalurgia;Operadores de instalaciones y maquinaria, y montadores;5
Ambos sexos;Maquinaria y metalurgia;Ocupaciones elementales;7
Ambos sexos;Maquinaria y metalurgia;Ocupaciones militares;0
Ambos sexos;Maquinaria y metalurgia;No consta;0
Ambos sexos;Vehículos de motor, barcos y aeronaves;Total;160
Ambos sexos;Vehículos de motor, barcos y aeronaves;Directores y gerentes;11
Ambos sexos;Vehículos de motor, barcos y aeronaves;Técnicos y profesionales científicos e intelectuales;98
Ambos sexos;Vehículos de motor, barcos y aeronaves;Técnicos profesionales de apoyo;24
Ambos sexos;Vehículos de motor, barcos y aeronaves;Empleados contables, administrativos y otros empleados de oficina;3
Ambos sexos;Vehículos de motor, barcos y aeronaves;Trabajadores de los servicios de restauración, personales, protección y vendedores;2
Ambos sexos;Vehículos de motor, barcos y aeronaves;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Vehículos de motor, barcos y aeronaves;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);16
Ambos sexos;Vehículos de motor, barcos y aeronaves;Operadores de instalaciones y maquinaria, y montadores;2
Ambos sexos;Vehículos de motor, barcos y aeronaves;Ocupaciones elementales;2
Ambos sexos;Vehículos de motor, barcos y aeronaves;Ocupaciones militares;2
Ambos sexos;Vehículos de motor, barcos y aeronaves;No consta;0
Ambos sexos;Ingeniería y profesiones afines (Otros estudios);Total;526
Ambos sexos;Ingeniería y profesiones afines (Otros estudios);Directores y gerentes;35
Ambos sexos;Ingeniería y profesiones afines (Otros estudios);Técnicos y profesionales científicos e intelectuales;247
Ambos sexos;Ingeniería y profesiones afines (Otros estudios);Técnicos profesionales de apoyo;148
Ambos sexos;Ingeniería y profesiones afines (Otros estudios);Empleados contables, administrativos y otros empleados de oficina;61
Ambos sexos;Ingeniería y profesiones afines (Otros estudios);Trabajadores de los servicios de restauración, personales, protección y vendedores;13
Ambos sexos;Ingeniería y profesiones afines (Otros estudios);Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Ingeniería y profesiones afines (Otros estudios);Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);13
Ambos sexos;Ingeniería y profesiones afines (Otros estudios);Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Ingeniería y profesiones afines (Otros estudios);Ocupaciones elementales;8
Ambos sexos;Ingeniería y profesiones afines (Otros estudios);Ocupaciones militares;0
Ambos sexos;Ingeniería y profesiones afines (Otros estudios);No consta;0
Ambos sexos;Industria de la alimentación;Total;508
Ambos sexos;Industria de la alimentación;Directores y gerentes;4
Ambos sexos;Industria de la alimentación;Técnicos y profesionales científicos e intelectuales;172
Ambos sexos;Industria de la alimentación;Técnicos profesionales de apoyo;155
Ambos sexos;Industria de la alimentación;Empleados contables, administrativos y otros empleados de oficina;20
Ambos sexos;Industria de la alimentación;Trabajadores de los servicios de restauración, personales, protección y vendedores;93
Ambos sexos;Industria de la alimentación;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;1
Ambos sexos;Industria de la alimentación;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);24
Ambos sexos;Industria de la alimentación;Operadores de instalaciones y maquinaria, y montadores;19
Ambos sexos;Industria de la alimentación;Ocupaciones elementales;20
Ambos sexos;Industria de la alimentación;Ocupaciones militares;0
Ambos sexos;Industria de la alimentación;No consta;0
Ambos sexos;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Total;131
Ambos sexos;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Directores y gerentes;8
Ambos sexos;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Técnicos y profesionales científicos e intelectuales;74
Ambos sexos;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Técnicos profesionales de apoyo;24
Ambos sexos;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Empleados contables, administrativos y otros empleados de oficina;6
Ambos sexos;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Trabajadores de los servicios de restauración, personales, protección y vendedores;11
Ambos sexos;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);1
Ambos sexos;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Operadores de instalaciones y maquinaria, y montadores;5
Ambos sexos;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Ocupaciones elementales;1
Ambos sexos;Industrias de otros materiales (madera, papel, plástico, vidrio,..);Ocupaciones militares;0
Ambos sexos;Industrias de otros materiales (madera, papel, plástico, vidrio,..);No consta;0
Ambos sexos;Arquitectura, urbanismo y construcción;Total;578
Ambos sexos;Arquitectura, urbanismo y construcción;Directores y gerentes;10
Ambos sexos;Arquitectura, urbanismo y construcción;Técnicos y profesionales científicos e intelectuales;339
Ambos sexos;Arquitectura, urbanismo y construcción;Técnicos profesionales de apoyo;124
Ambos sexos;Arquitectura, urbanismo y construcción;Empleados contables, administrativos y otros empleados de oficina;27
Ambos sexos;Arquitectura, urbanismo y construcción;Trabajadores de los servicios de restauración, personales, protección y vendedores;54
Ambos sexos;Arquitectura, urbanismo y construcción;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Arquitectura, urbanismo y construcción;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Arquitectura, urbanismo y construcción;Operadores de instalaciones y maquinaria, y montadores;5
Ambos sexos;Arquitectura, urbanismo y construcción;Ocupaciones elementales;15
Ambos sexos;Arquitectura, urbanismo y construcción;Ocupaciones militares;4
Ambos sexos;Arquitectura, urbanismo y construcción;No consta;0
Ambos sexos;Ingeniería civil y de la edificación;Total;565
Ambos sexos;Ingeniería civil y de la edificación;Directores y gerentes;15
Ambos sexos;Ingeniería civil y de la edificación;Técnicos y profesionales científicos e intelectuales;343
Ambos sexos;Ingeniería civil y de la edificación;Técnicos profesionales de apoyo;121
Ambos sexos;Ingeniería civil y de la edificación;Empleados contables, administrativos y otros empleados de oficina;47
Ambos sexos;Ingeniería civil y de la edificación;Trabajadores de los servicios de restauración, personales, protección y vendedores;31
Ambos sexos;Ingeniería civil y de la edificación;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Ingeniería civil y de la edificación;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Ingeniería civil y de la edificación;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Ingeniería civil y de la edificación;Ocupaciones elementales;2
Ambos sexos;Ingeniería civil y de la edificación;Ocupaciones militares;0
Ambos sexos;Ingeniería civil y de la edificación;No consta;6
Ambos sexos;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Total;564
Ambos sexos;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Directores y gerentes;15
Ambos sexos;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Técnicos y profesionales científicos e intelectuales;276
Ambos sexos;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Técnicos profesionales de apoyo;117
Ambos sexos;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Empleados contables, administrativos y otros empleados de oficina;26
Ambos sexos;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Trabajadores de los servicios de restauración, personales, protección y vendedores;63
Ambos sexos;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;22
Ambos sexos;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);13
Ambos sexos;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Operadores de instalaciones y maquinaria, y montadores;3
Ambos sexos;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Ocupaciones elementales;27
Ambos sexos;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;Ocupaciones militares;0
Ambos sexos;08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA;No consta;0
Ambos sexos;Producción agrícola, explotación ganadera, horticultura y jardinería;Total;301
Ambos sexos;Producción agrícola, explotación ganadera, horticultura y jardinería;Directores y gerentes;10
Ambos sexos;Producción agrícola, explotación ganadera, horticultura y jardinería;Técnicos y profesionales científicos e intelectuales;139
Ambos sexos;Producción agrícola, explotación ganadera, horticultura y jardinería;Técnicos profesionales de apoyo;69
Ambos sexos;Producción agrícola, explotación ganadera, horticultura y jardinería;Empleados contables, administrativos y otros empleados de oficina;20
Ambos sexos;Producción agrícola, explotación ganadera, horticultura y jardinería;Trabajadores de los servicios de restauración, personales, protección y vendedores;16
Ambos sexos;Producción agrícola, explotación ganadera, horticultura y jardinería;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;15
Ambos sexos;Producción agrícola, explotación ganadera, horticultura y jardinería;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);9
Ambos sexos;Producción agrícola, explotación ganadera, horticultura y jardinería;Operadores de instalaciones y maquinaria, y montadores;3
Ambos sexos;Producción agrícola, explotación ganadera, horticultura y jardinería;Ocupaciones elementales;19
Ambos sexos;Producción agrícola, explotación ganadera, horticultura y jardinería;Ocupaciones militares;0
Ambos sexos;Producción agrícola, explotación ganadera, horticultura y jardinería;No consta;0
Ambos sexos;Silvicultura;Total;76
Ambos sexos;Silvicultura;Directores y gerentes;4
Ambos sexos;Silvicultura;Técnicos y profesionales científicos e intelectuales;24
Ambos sexos;Silvicultura;Técnicos profesionales de apoyo;20
Ambos sexos;Silvicultura;Empleados contables, administrativos y otros empleados de oficina;1
Ambos sexos;Silvicultura;Trabajadores de los servicios de restauración, personales, protección y vendedores;14
Ambos sexos;Silvicultura;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;4
Ambos sexos;Silvicultura;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);3
Ambos sexos;Silvicultura;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Silvicultura;Ocupaciones elementales;6
Ambos sexos;Silvicultura;Ocupaciones militares;0
Ambos sexos;Silvicultura;No consta;0
Ambos sexos;Pesca;Total;85
Ambos sexos;Pesca;Directores y gerentes;2
Ambos sexos;Pesca;Técnicos y profesionales científicos e intelectuales;39
Ambos sexos;Pesca;Técnicos profesionales de apoyo;12
Ambos sexos;Pesca;Empleados contables, administrativos y otros empleados de oficina;5
Ambos sexos;Pesca;Trabajadores de los servicios de restauración, personales, protección y vendedores;25
Ambos sexos;Pesca;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Pesca;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);2
Ambos sexos;Pesca;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Pesca;Ocupaciones elementales;1
Ambos sexos;Pesca;Ocupaciones militares;0
Ambos sexos;Pesca;No consta;0
Ambos sexos;Veterinaria;Total;102
Ambos sexos;Veterinaria;Directores y gerentes;0
Ambos sexos;Veterinaria;Técnicos y profesionales científicos e intelectuales;75
Ambos sexos;Veterinaria;Técnicos profesionales de apoyo;16
Ambos sexos;Veterinaria;Empleados contables, administrativos y otros empleados de oficina;0
Ambos sexos;Veterinaria;Trabajadores de los servicios de restauración, personales, protección y vendedores;8
Ambos sexos;Veterinaria;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;2
Ambos sexos;Veterinaria;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Veterinaria;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Veterinaria;Ocupaciones elementales;1
Ambos sexos;Veterinaria;Ocupaciones militares;0
Ambos sexos;Veterinaria;No consta;0
Ambos sexos;09 - SALUD Y SERVICIOS SOCIALES;Total;6.239
Ambos sexos;09 - SALUD Y SERVICIOS SOCIALES;Directores y gerentes;76
Ambos sexos;09 - SALUD Y SERVICIOS SOCIALES;Técnicos y profesionales científicos e intelectuales;4.863
Ambos sexos;09 - SALUD Y SERVICIOS SOCIALES;Técnicos profesionales de apoyo;536
Ambos sexos;09 - SALUD Y SERVICIOS SOCIALES;Empleados contables, administrativos y otros empleados de oficina;160
Ambos sexos;09 - SALUD Y SERVICIOS SOCIALES;Trabajadores de los servicios de restauración, personales, protección y vendedores;439
Ambos sexos;09 - SALUD Y SERVICIOS SOCIALES;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;7
Ambos sexos;09 - SALUD Y SERVICIOS SOCIALES;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);17
Ambos sexos;09 - SALUD Y SERVICIOS SOCIALES;Operadores de instalaciones y maquinaria, y montadores;22
Ambos sexos;09 - SALUD Y SERVICIOS SOCIALES;Ocupaciones elementales;108
Ambos sexos;09 - SALUD Y SERVICIOS SOCIALES;Ocupaciones militares;4
Ambos sexos;09 - SALUD Y SERVICIOS SOCIALES;No consta;6
Ambos sexos;Odontología;Total;206
Ambos sexos;Odontología;Directores y gerentes;0
Ambos sexos;Odontología;Técnicos y profesionales científicos e intelectuales;197
Ambos sexos;Odontología;Técnicos profesionales de apoyo;3
Ambos sexos;Odontología;Empleados contables, administrativos y otros empleados de oficina;3
Ambos sexos;Odontología;Trabajadores de los servicios de restauración, personales, protección y vendedores;3
Ambos sexos;Odontología;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Odontología;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Odontología;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Odontología;Ocupaciones elementales;0
Ambos sexos;Odontología;Ocupaciones militares;0
Ambos sexos;Odontología;No consta;0
Ambos sexos;Medicina;Total;1.081
Ambos sexos;Medicina;Directores y gerentes;0
Ambos sexos;Medicina;Técnicos y profesionales científicos e intelectuales;975
Ambos sexos;Medicina;Técnicos profesionales de apoyo;33
Ambos sexos;Medicina;Empleados contables, administrativos y otros empleados de oficina;21
Ambos sexos;Medicina;Trabajadores de los servicios de restauración, personales, protección y vendedores;45
Ambos sexos;Medicina;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;4
Ambos sexos;Medicina;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Medicina;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Medicina;Ocupaciones elementales;4
Ambos sexos;Medicina;Ocupaciones militares;0
Ambos sexos;Medicina;No consta;0
Ambos sexos;Enfermería;Total;790
Ambos sexos;Enfermería;Directores y gerentes;7
Ambos sexos;Enfermería;Técnicos y profesionales científicos e intelectuales;745
Ambos sexos;Enfermería;Técnicos profesionales de apoyo;8
Ambos sexos;Enfermería;Empleados contables, administrativos y otros empleados de oficina;0
Ambos sexos;Enfermería;Trabajadores de los servicios de restauración, personales, protección y vendedores;27
Ambos sexos;Enfermería;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Enfermería;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Enfermería;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Enfermería;Ocupaciones elementales;3
Ambos sexos;Enfermería;Ocupaciones militares;0
Ambos sexos;Enfermería;No consta;0
Ambos sexos;Tecnología de diagnóstico y tratamiento médico;Total;684
Ambos sexos;Tecnología de diagnóstico y tratamiento médico;Directores y gerentes;14
Ambos sexos;Tecnología de diagnóstico y tratamiento médico;Técnicos y profesionales científicos e intelectuales;517
Ambos sexos;Tecnología de diagnóstico y tratamiento médico;Técnicos profesionales de apoyo;69
Ambos sexos;Tecnología de diagnóstico y tratamiento médico;Empleados contables, administrativos y otros empleados de oficina;21
Ambos sexos;Tecnología de diagnóstico y tratamiento médico;Trabajadores de los servicios de restauración, personales, protección y vendedores;40
Ambos sexos;Tecnología de diagnóstico y tratamiento médico;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Tecnología de diagnóstico y tratamiento médico;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Tecnología de diagnóstico y tratamiento médico;Operadores de instalaciones y maquinaria, y montadores;5
Ambos sexos;Tecnología de diagnóstico y tratamiento médico;Ocupaciones elementales;19
Ambos sexos;Tecnología de diagnóstico y tratamiento médico;Ocupaciones militares;0
Ambos sexos;Tecnología de diagnóstico y tratamiento médico;No consta;0
Ambos sexos;Terapia y rehabilitación;Total;814
Ambos sexos;Terapia y rehabilitación;Directores y gerentes;15
Ambos sexos;Terapia y rehabilitación;Técnicos y profesionales científicos e intelectuales;618
Ambos sexos;Terapia y rehabilitación;Técnicos profesionales de apoyo;77
Ambos sexos;Terapia y rehabilitación;Empleados contables, administrativos y otros empleados de oficina;28
Ambos sexos;Terapia y rehabilitación;Trabajadores de los servicios de restauración, personales, protección y vendedores;66
Ambos sexos;Terapia y rehabilitación;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;4
Ambos sexos;Terapia y rehabilitación;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Terapia y rehabilitación;Operadores de instalaciones y maquinaria, y montadores;2
Ambos sexos;Terapia y rehabilitación;Ocupaciones elementales;0
Ambos sexos;Terapia y rehabilitación;Ocupaciones militares;4
Ambos sexos;Terapia y rehabilitación;No consta;0
Ambos sexos;Farmacia;Total;288
Ambos sexos;Farmacia;Directores y gerentes;9
Ambos sexos;Farmacia;Técnicos y profesionales científicos e intelectuales;163
Ambos sexos;Farmacia;Técnicos profesionales de apoyo;55
Ambos sexos;Farmacia;Empleados contables, administrativos y otros empleados de oficina;6
Ambos sexos;Farmacia;Trabajadores de los servicios de restauración, personales, protección y vendedores;41
Ambos sexos;Farmacia;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Farmacia;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);4
Ambos sexos;Farmacia;Operadores de instalaciones y maquinaria, y montadores;5
Ambos sexos;Farmacia;Ocupaciones elementales;3
Ambos sexos;Farmacia;Ocupaciones militares;0
Ambos sexos;Farmacia;No consta;2
Ambos sexos;Salud (Otros estudios);Total;1.206
Ambos sexos;Salud (Otros estudios);Directores y gerentes;11
Ambos sexos;Salud (Otros estudios);Técnicos y profesionales científicos e intelectuales;1.004
Ambos sexos;Salud (Otros estudios);Técnicos profesionales de apoyo;117
Ambos sexos;Salud (Otros estudios);Empleados contables, administrativos y otros empleados de oficina;10
Ambos sexos;Salud (Otros estudios);Trabajadores de los servicios de restauración, personales, protección y vendedores;40
Ambos sexos;Salud (Otros estudios);Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Salud (Otros estudios);Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);8
Ambos sexos;Salud (Otros estudios);Operadores de instalaciones y maquinaria, y montadores;10
Ambos sexos;Salud (Otros estudios);Ocupaciones elementales;6
Ambos sexos;Salud (Otros estudios);Ocupaciones militares;0
Ambos sexos;Salud (Otros estudios);No consta;0
Ambos sexos;Trabajo social y orientación;Total;1.170
Ambos sexos;Trabajo social y orientación;Directores y gerentes;19
Ambos sexos;Trabajo social y orientación;Técnicos y profesionales científicos e intelectuales;645
Ambos sexos;Trabajo social y orientación;Técnicos profesionales de apoyo;174
Ambos sexos;Trabajo social y orientación;Empleados contables, administrativos y otros empleados de oficina;72
Ambos sexos;Trabajo social y orientación;Trabajadores de los servicios de restauración, personales, protección y vendedores;177
Ambos sexos;Trabajo social y orientación;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Trabajo social y orientación;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);5
Ambos sexos;Trabajo social y orientación;Operadores de instalaciones y maquinaria, y montadores;0
Ambos sexos;Trabajo social y orientación;Ocupaciones elementales;73
Ambos sexos;Trabajo social y orientación;Ocupaciones militares;0
Ambos sexos;Trabajo social y orientación;No consta;4
Ambos sexos;10 - SERVICIOS;Total;4.673
Ambos sexos;10 - SERVICIOS;Directores y gerentes;204
Ambos sexos;10 - SERVICIOS;Técnicos y profesionales científicos e intelectuales;1.591
Ambos sexos;10 - SERVICIOS;Técnicos profesionales de apoyo;1.278
Ambos sexos;10 - SERVICIOS;Empleados contables, administrativos y otros empleados de oficina;673
Ambos sexos;10 - SERVICIOS;Trabajadores de los servicios de restauración, personales, protección y vendedores;584
